Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
Chris McKenzie,CB,68,185,4.32,45,6,136,6.9,4.32,0
T.A. McLendon,RB,70,235,4.71,35,27,117,7.34,4.19,0
Pete McMahon,OT,80,329,5.43,27,26,92,7.97,4.8,0
David McMillan,DE,75,262,4.58,34,16,120,7.11,4.07,0
Willie McNeill,OT,76,291,5.3,,,,,,0
Adrian McPherson,QB,75,218,4.71,34.5,22,128,6.93,4.08,0
Albert Means,DT,76,318,5.4,27,26,96,8.21,4.87,0
Shawne Merriman,DE,76,272,4.64,,25,,,,1
Heath Miller,TE,77,256,4.79,,,,,,1
Lance Mitchell,ILB,74,247,4.85,33.5,15,,7.49,4.38,0
Ryan Moats,RB,68,210,4.46,36,19,117,7.22,4.1,0
Mike Montgomery,DE,77,276,5.05,34.5,19,115,7.38,4.32,0
Lance Moore,WR,69,177,4.52,,,,,,0
Eric Moore,DE,76,262,4.84,29.5,22,108,7.62,4.5,0
Vernand Morency,RB,70,212,4.66,33.5,19,108,7.02,4.12,0
Kirk Morrison,ILB,73,235,4.75,,25,,,4.31,0
C.J. Mosley-01,DT,74,314,5.08,27.5,27,100,8.21,4.64,0
Scott Mruczkowski,C,76,321,5.29,,28,,,,0
Michael Munoz,OT,77,306,5.3,,,,,,0
Terrence Murphy,WR,73,202,4.39,,,,,,0
Chris Myers,OG,77,300,5.11,,25,,,,1
Jared Newberry,OLB,73,234,4.71,,,,,,0
Donte Nicholson,SS,73,212,4.56,,18,,,,0
Doug Nienhuis,OG,78,307,5.15,29.5,22,99,7.5,4.47,0
Nick Novak,K,71,191,5.1,,,,,,0
Mike Nugent,K,70,182,4.72,,,,,,0
Craig Ochs,QB,74,218,4.87,28.5,,104,7.03,4.13,0
Frank Omiyale,OT,76,310,5.3,29.5,22,101,8.19,4.72,0
Dan Orlovsky,QB,77,225,4.93,29.5,,107,7.33,4.39,0
Kyle Orton,QB,76,233,5.06,26.5,,,7.38,4.52,0
Chad Owens,WR,67,183,4.62,37,,116,6.7,3.94,0
Jeremy Parquet,OT,79,323,5.31,29.5,17,94,7.95,4.8,0
Roscoe Parrish,WR,70,168,4.37,,,,,,0
Mike Patterson,DT,72,292,4.93,,26,,,,0
Martin Patterson,ILB,73,243,4.89,34,21,115,7.31,4.2,0
Karl Paymah,CB,72,204,4.35,41.5,15,125,7.09,3.91,0
Matt Payne,K,76,229,4.75,,,,,,0
Alvin Pearman,RB,69,208,4.63,34,24,114,7.06,4.08,0
Erik Pears,OT,80,312,5.12,,,,,,0
Antonio Perkins,CB,71,190,4.49,40,10,126,7.17,4.07,0
Tab Perry,WR,74,229,4.46,34,,116,7,,0
Rob Petitti,OT,78,347,5.48,,,,,,0
Kenneth Pettway,OLB,75,236,4.69,32.5,22,114,7.29,4.31,0
David Pollack,DE,74,265,4.75,37,25,120,6.86,3.9,0
Jonathan Pollard,OLB,73,247,4.68,35,21,116,7.41,4.07,0
Brodney Pool,FS,73,207,4.52,,,,,,0
Brady Poppinga,DE,75,259,4.59,35.5,26,110,7.27,4.38,0
Sione Pouha,DT,75,325,5.02,32.5,32,107,7.83,4.44,0
Duke Preston,C,77,311,,32,21,96,7.57,4.45,0
Bobby Purify,RB,72,210,4.67,33.5,15,116,7.22,4.13,0
Bryan Randall,QB,72,225,4.71,33,,113,6.97,4.08,0
Dave Rayner,K,74,210,5,,,,,,0
Jamaica Rector,WR,70,186,4.47,36.5,,122,6.78,4.13,0
Lamont Reid,CB,71,195,4.53,40.5,15,124,7.18,4.28,0
Walter Reyes,RB,70,209,4.52,32,16,109,7.23,4.38,0
Joe Rheem,K,72,217,,,,,,,0
Kerry Rhodes,FS,74,209,4.56,42,12,123,6.94,4.12,0
Ryan Riddle,DE,74,256,4.83,,18,,,,0
Dante' Ridgeway,WR,71,212,4.57,33,,117,7.25,4.39,0
Chris Rix,QB,74,214,4.7,33.5,,116,7.53,4.53,0
Derreck Robinson,DT,76,289,,34.5,27,114,7.97,4.53,0
Leon Robinson,OG,76,314,5.22,36,22,109,8.27,4.76,0
Courtney Roby,WR,72,189,4.41,36.5,,126,6.6,3.94,0
Aaron Rodgers,QB,74,223,4.71,34.5,,110,7.38,,1
Carlos Rogers,CB,72,196,4.44,40.5,15,126,6.48,3.82,1
Antrel Rolle,CB,72,201,4.48,,15,,,,1
Michael Roos,OT,79,320,5.3,29,19,97,7.72,4.5,1
Matt Roth,DE,76,278,4.81,32,26,112,7.65,4.36,0
Stanford Routt,CB,73,193,4.27,36.5,,129,6.63,3.9,0
J.R. Russell,WR,75,206,4.56,34.5,,,,,0
Barrett Ruud,ILB,74,241,4.75,34.5,25,112,7.22,3.94,0
Steve Savoy,WR,71,192,4.62,,,,,,0
Bo Scaife,TE,75,249,4.75,32.5,24,114,7.21,4.12,0
Gerald Sensabaugh,FS,72,214,4.44,46,17,133,,,0
Adam Seward,ILB,74,248,4.6,36.5,33,120,7.16,4.11,0
Ernest Shazor,SS,76,228,4.65,,,,,,0
Dan Sheldon,WR,69,179,4.43,,,,,,0
Eric Shelton,RB,73,246,4.53,38.5,,124,7.44,4.08,0
Darrell Shropshire,DT,74,301,4.87,34,25,116,7.54,4.31,0
Wes Sims,OT,77,318,5.39,28,26,108,7.68,4.43,0
Alex Smith-01,QB,76,217,4.71,32,,113,6.82,3.96,1
Alex Smith-02,TE,76,258,4.88,,28,,,,0
Adam Snyder,OG,77,316,5.34,28.5,21,93,7.83,4.83,0
Marcus Spears,DE,76,307,5.05,,,,,,0
Chris Spencer,C,75,309,5.21,32,26,105,8.06,4.59,0
Darren Sproles,RB,66,187,4.47,33,23,105,6.96,3.96,1
Scott Starks,CB,68,172,4.37,43,13,137,6.99,3.9,0
Nick Steitz,OG,75,312,5.7,31,,99,8.16,4.65,0
David Stewart,OT,78,314,5.25,,24,,,,0
Chauncey Stovall,WR,73,221,4.62,,,,,,0
Bill Swancutt,DE,76,270,5,34,23,113,7.35,4.24,0
Lofa Tatupu,ILB,72,238,4.83,35,23,113,7.31,4.16,1
Claude Terrell,OG,74,343,5.42,24.5,27,89,8.17,4.75,0
Adam Terry,OT,80,330,5.4,28,,96,7.89,4.78,0
Benard Thomas,DE,76,269,4.9,30,27,108,8.24,4.34,0
Craphonso Thorpe,WR,73,188,4.38,,,,,,0
Odell Thurman,ILB,72,233,4.62,34,23,114,7.47,,0
Justin Tuck,DE,77,268,4.71,,,,,,1
Zach Tuiasosopo,FB,74,249,5,25.5,19,100,7.57,4.67,0
Marviel Underwood,FS,70,205,4.45,38,19,118,7.12,4.21,0
Jimmy Verdon,DE,75,280,5.02,29.5,18,105,7.89,4.53,0
Kevin Vickerson,DT,77,310,5,32.5,,103,7.78,4.64,0
Cameron Wake,OLB,75,236,4.65,45.5,20,130,7.12,4.11,1
Rian Wallace,OLB,74,241,4.73,35.5,10,112,7.45,3.94,0
Andrew Walter,QB,78,233,4.86,,,,,,0
DeMarcus Ware,OLB,76,251,4.56,38.5,27,122,6.83,4.07,1
Paris Warren,WR,72,219,4.71,31.5,,,,,0
Fabian Washington,CB,70,188,4.29,41.5,18,129,,3.91,0
Mike Watson,OT,76,316,5.46,27.5,,100,,,0
Corey Webster,CB,72,199,4.5,,9,,,,0
Marquis Weeks,SS,70,216,4.56,36.5,23,120,7.46,3.89,0
Jonathan Welsh,OLB,75,244,4.61,40.5,19,130,7.83,4.22,0
Isaac West,WR,72,187,4.46,37,,124,7.21,4.22,0
Jason White,QB,74,223,4.9,31,,108,7.28,4.19,0
Manuel White,FB,74,244,4.64,,,,,,0
Roddy White,WR,73,207,4.46,,,,,,1
Sam Wilder,OT,77,298,5.31,26.5,23,102,7.43,4.5,0
Ben Wilkerson,C,75,299,5.46,,,,,,0
Aric Williams,CB,71,187,4.58,36,8,117,,,0
Cadillac Williams,RB,71,217,4.43,35.5,19,118,6.94,4.15,0
Cedrick Williams,CB,70,168,4.5,35,13,121,7.24,4.22,0
Darrent Williams,CB,69,176,4.3,39,16,124,6.97,3.96,0
Mike Williams-02,WR,77,229,4.56,36.5,,,,,0
Troy Williamson,WR,73,203,4.32,,,,6.99,,0
Ray Willis,OT,78,327,5.18,,27,,,,0
Stanley Wilson,CB,72,185,4.36,39.5,14,125,,,0
Jerron Wishom,CB,72,193,4.5,38,18,118,6.81,4.07,0
Cornelius Wortham,OLB,73,236,4.71,37,22,110,,4.38,0
Scott Young,OG,76,312,5.08,35,43,115,7.46,4.37,0
Titus Adams,DT,75,306,5.07,30.5,15,103,7.49,4.54,0
Darrell Adams,DE,77,277,5,27,22,109,7.91,4.76,0
Jahmile Addae,FS,70,214,4.7,38.5,,122,,,0
Joseph Addai,RB,71,214,4.4,38.5,18,125,7.09,4.47,1
Victor Adeyanju,DE,76,274,4.86,32,22,112,7.37,4.41,0
Jason Allen,FS,73,209,4.39,39.5,17,131,6.75,3.81,0
Jon Alston,OLB,73,223,4.5,40,30,132,6.9,4.13,0
Sir Henry Anderson,DT,76,306,5.19,28.5,27,100,7.69,4.55,0
Mark Anderson,DE,76,254,4.62,42,20,127,6.95,4.22,0
James Anderson,OLB,75,229,4.59,41,,121,6.67,4.07,0
David Anderson,WR,70,192,4.57,34,,116,6.88,4.2,0
Willie Andrews,SS,69,193,4.43,36.5,7,124,6.99,4.27,0
Devin Aromashodu,WR,74,201,4.35,39,,120,7.04,4.16,0
Miles Austin,WR,74,215,4.47,40.5,21,123,7.09,4.14,1
Jason Avant,WR,72,212,4.62,37,20,118,,,0
Brett Basanez,QB,73,220,4.76,34,,114,6.75,4.22,0
Hank Baskett,WR,75,224,4.5,35,,119,6.79,4.17,0
Danny Baugher,P,70,194,,,,,,,0
Mike Bell-RB,RB,72,221,4.6,31.5,19,112,7.16,4.21,0
Charles Bennett,DE,76,258,4.7,33.5,19,115,7.48,4.52,0
Matt Bernstein,FB,72,260,4.91,29.5,22,110,7.46,4.5,0
Antoine Bethea,FS,71,203,4.39,36.5,19,127,6.99,4.11,1
Troy Bienemann,TE,77,256,4.8,,,,,,0
Damarius Bilbo,WR,74,214,4.7,36.5,19,115,6.9,4.18,0
Darnell Bing,SS,74,227,4.53,34,17,120,7.25,4.07,0
Will Blackmon,CB,72,198,4.47,41,,133,6.67,4.23,0
Jeremy Bloom,WR,69,173,4.49,,,,,,0
Greg Blue,FS,74,216,4.57,37.5,16,120,,,0
Kevin Boothe,OT,77,316,5.41,31.5,23,98,8.36,5.07,0
Jovon Bouknight,WR,73,195,4.71,34,,120,6.93,4.03,0
McKinley Boykin,DT,73,289,5.01,30.5,30,109,,4.75,0
Trent Bray,ILB,73,231,4.9,32,18,109,7.15,4.41,0
Darrell Brooks,FS,72,198,4.61,36.5,7,125,6.97,4.36,0
Manaia Brown,DT,75,301,5.1,34.5,21,111,7.63,4.47,0
Copeland Bryan,DE,76,253,4.9,33,16,117,7.11,4.3,0
Daniel Bullocks,SS,72,212,4.38,38,18,124,6.91,4.16,0
Brodrick Bunkley,DT,75,306,5.01,32.5,44,113,,,0
Reggie Bush,RB,71,201,4.37,,,,,,0
Rashad Butler,OT,77,293,5.3,28,16,106,7.9,4.55,0
Brad Butler,OT,79,310,5.29,,,,,,0
Dominique Byrd,TE,75,255,4.79,,,,,,0
Brian Calhoun,RB,69,201,4.57,31.5,18,124,7.05,4.2,0
Bobby Carpenter,OLB,74,256,4.65,,,,,,0
Jason Carter,WR,72,211,4.6,33,,116,6.89,4.21,0
Chris Chester,C,75,303,4.83,31.5,27,106,7.31,4.5,0
Jeromey Clary,OT,78,309,5.28,26,24,102,7.8,4.63,0
Kellen Clemens,QB,74,224,4.89,,,,,,0
Barry Cofield,DT,76,304,4.95,34,35,105,7.43,4.35,0
Daryn Colledge,OT,76,299,5.05,32.5,21,110,7.43,4.58,0
Marques Colston,WR,77,224,4.5,37,16,123,6.94,4.43,0
Ryan Cook,OT,79,328,5.47,26.5,28,97,7.93,4.66,0
Antonio Cromartie,CB,74,208,4.47,38,18,132,,,1
Brodie Croyle,QB,74,205,4.88,30.5,,104,7.34,4.25,0
Jay Cutler,QB,75,226,4.77,,23,,7.1,4.26,1
P.J. Daniels,RB,70,214,4.64,33,21,116,7.13,4.4,0
Owen Daniels,TE,75,253,4.65,34.5,23,114,6.87,4.1,1
Vernon Davis,TE,75,254,4.38,42,33,128,7,4.17,1
Charles Davis,TE,77,263,4.87,31.5,27,108,7.53,4.37,0
Tim Day,TE,75,256,4.74,35,24,109,7.03,4.2,0
Mike Degory,C,77,305,5.42,26,24,98,8.03,4.67,0
Marcus Demps,FS,72,198,4.7,31,17,117,6.91,4.09,0
Chris Denney,WR,75,224,4.65,33,13,110,7.02,4.33,0
Will Derting,ILB,72,247,4.74,,,,,,0
Tim Dobbins,ILB,73,246,4.59,35.5,23,110,7.25,4.39,0
Reed Doughty,FS,72,209,4.65,37,15,121,6.66,4.17,0
Kader Drame,DT,77,290,5.25,30.5,17,108,8.12,,0
Elvis Dumervil,DE,71,257,4.75,,30,,,,1
Dusty Dvoracek,DT,75,306,5.01,34,31,110,7.62,4.35,0
Ray Edwards,DE,77,273,4.81,39,30,114,7.71,4.57,0
Keith Ellison,OLB,73,235,4.76,32.5,24,115,7.22,4.16,0
Greg Eslinger,C,75,292,5.13,30,28,101,7.59,4.68,0
Bruce Eugene,QB,72,260,5.12,27.5,,94,7.97,4.76,0
Jahri Evans,OT,76,316,5.25,27,20,95,7.97,4.8,1
Anthony Fasano,TE,76,259,4.72,33.5,19,112,6.94,4.34,0
Daniel Fells,TE,75,259,4.95,29.5,19,108,7.27,4.46,0
D'Brickashaw Ferguson,OT,78,312,5.08,,,,,,1
Omar Gaither,OLB,73,234,4.78,37,23,116,7.31,4.28,0
Quinton Ganther,RB,69,218,4.5,35,29,119,7.19,,0
Ryan Gilbert,RB,70,228,4.6,,,,,,0
Chris Gocong,DE,74,263,4.7,38.5,28,123,7.05,4.08,0
Kedric Golston,DT,76,300,4.88,33,31,111,7.6,4.45,0
Charles Gordon,CB,70,183,4.6,35.5,12,115,6.95,4.2,0
Bruce Gradkowski,QB,73,217,4.59,34,,107,7.12,4.16,0
Skyler Green,WR,69,192,4.53,34,,118,,,0
Marcus Green,DT,73,295,5.14,31,33,108,7.62,4.86,0
Chad Greenway,OLB,74,242,4.76,33.5,16,117,7,4.22,1
Cedric Griffin,FS,72,199,4.51,35.5,17,125,6.84,4.1,0
Darrell Hackney,QB,72,239,4.82,33,,110,7.62,4.69,0
Derek Hagan,WR,74,208,4.45,36,,124,,4.07,0
Marques Hagans,RB,69,202,4.67,35,,114,7.03,4.38,0
Tamba Hali,DE,75,275,4.87,,,,,,1
Andre Hall,RB,68,208,4.4,33,18,113,7.38,,0
Chris Hannon,WR,75,205,4.48,34.5,,122,,,0
Parys Haralson,DE,73,253,4.8,32,24,115,7.37,4.26,0
Roman Harper,FS,72,198,4.5,,19,,,,1
Chris Harrell,SS,72,209,4.7,40.5,15,119,7.02,4.12,0
Orien Harris,DT,75,301,5.27,,25,,,,0
Gilbert Harris,FB,74,235,4.73,36,20,117,7,4.38,0
Jerome Harrison,RB,69,201,4.47,34.5,19,124,6.77,4.07,0
Mike Hass,WR,73,208,4.59,32,,116,6.97,4.14,0
Jason Hatcher,DE,78,284,4.82,35.5,28,113,7.67,4.49,1
Spencer Havner,ILB,75,242,4.69,39,,116,6.81,4.07,0
A.J. Hawk,OLB,73,248,4.59,40,24,115,6.82,3.96,0
Chris Hawkins-01,CB,70,183,4.51,37,16,116,,4.18,0
Taurean Henderson,RB,69,204,4.62,32.5,,112,7.01,4.4,0
Eric Henderson,DE,74,270,4.75,,30,,,,0
Matt Henshaw,TE,76,248,4.73,29,16,111,7.44,4.44,0
Jarvis Herring,SS,71,207,4.85,36.5,15,116,7.34,4.23,0
Devin Hester,WR,71,190,4.41,38,16,124,,,1
Tye Hill,CB,70,185,4.34,41,,129,6.63,4.01,0
Ed Hinkel,WR,72,190,4.54,34,,116,6.97,4.1,0
Abdul Hodge,ILB,72,236,4.76,31,,108,7.09,4.3,0
Santonio Holmes,WR,71,188,4.35,,,,,,0
Reuben Houston,CB,72,192,4.62,41.5,21,127,,4.42,0
Thomas Howard,OLB,75,239,4.42,39,21,124,6.96,4.28,0
Oliver Hoyte,ILB,75,245,4.93,32,19,112,7.47,4.3,0
Marcus Hudson,FS,73,194,4.55,,11,,,,0
Michael Huff,SS,72,204,4.34,40.5,21,125,,,0
Cedric Humes,RB,73,227,4.62,30.5,18,106,7.07,4.22,0
Darrell Hunter,CB,72,206,4.44,36,8,123,,4.11,0
Josh Huston,K,73,209,,,,,,,0
Clint Ingram,OLB,74,244,4.65,41,22,,7.12,4.1,0
Brian Iwuh,OLB,72,234,4.66,,20,,,,0
Tarvaris Jackson,QB,74,226,4.69,31.5,22,107,7.4,4.38,0
T.J. Jackson,DT,72,304,5.15,31,26,104,7.72,4.6,0
D'Qwell Jackson,ILB,72,230,4.73,37,19,116,7.05,4.36,1
Chad Jackson,WR,73,213,4.32,38.5,,122,6.73,3.97,0
Omar Jacobs,QB,76,232,4.84,32.5,,108,7.47,4.29,0
Max Jean-Gilles,OG,76,355,5.48,24.5,27,95,8.56,5.08,0
Julian Jenkins,DE,76,277,5.03,34.5,25,110,7.11,4.23,0
Tim Jennings,CB,68,185,4.32,37.5,17,117,,,1
Kelly Jennings,CB,71,178,4.39,40,,120,,4,0
Greg Jennings,WR,71,197,4.42,36.5,,117,6.68,4.16,1
Adam Jennings,WR,69,181,4.44,37.5,,118,6.88,4.12,0
Brandon Johnson,OLB,77,228,4.44,37,11,118,7.17,4.34,0
Johnny Jolly,DT,75,317,5.41,,,104,,,0
Maurice Jones-Drew,RB,67,207,4.39,36,18,116,7.08,4.38,1
Johnathan Joseph,CB,71,193,4.31,37,15,123,6.92,4.23,1
Davin Joseph,OG,75,311,5.09,32,24,111,,4.97,1
Winston Justice,OT,78,319,5.16,35,,110,7.31,4.53,0
Freddy Keiaho,ILB,71,224,4.68,36,15,113,7.01,4.12,0
Charlton Keith,OLB,76,237,4.78,30.5,12,109,7.03,4.36,0
William Kershaw,OLB,75,240,4.63,37,21,111,6.95,4.17,0
Jeff King,TE,77,245,4.83,32.5,21,109,6.99,4.09,0
David Kirtman,FB,71,233,4.76,29.5,,106,7.18,4.31,0
Mathias Kiwanuka,DE,78,266,4.7,32,17,120,7.27,4.13,0
Joe Klopfenstein,TE,78,255,4.63,36,27,112,7.39,4.21,0
Mike Kudla,DE,74,265,4.72,37,45,114,7.21,4.45,0
Chris Kuper,OG,76,301,5.1,30,24,109,7.59,4.6,0
Ryan LaCasse,DE,74,257,4.62,34,34,113,7.25,4.3,0
Dawan Landry,SS,73,220,4.64,37.5,18,124,,4.27,0
Manny Lawson,OLB,77,241,4.43,39.5,23,124,6.9,4.18,0
Josh Lay,CB,72,197,4.48,40.5,16,120,,,0
Greg Lee,WR,74,201,4.59,35.5,,114,6.8,4.09,0
Matt Leinart,QB,77,223,4.9,,,,,,0
Marcedes Lewis,TE,78,261,4.8,37,23,118,7.24,4.82,1
Jonathan Lewis,DT,73,309,4.97,33.5,24,111,7.4,4.4,0
David Lonie,P,77,209,4.74,,,,,,0
Calvin Lowry,SS,71,200,4.54,36,15,120,7.16,4.2,0
Travis Lulay,QB,74,216,4.71,35,,111,6.93,4.07,0
Wali Lundy,RB,71,214,4.48,35,18,111,6.99,4.36,0
Deuce Lutui,OG,76,334,5.35,28,26,97,8.04,4.76,0
Jesse Mahelona,DT,72,311,5.37,,,,,,0
Tom Malone,P,72,212,4.87,,,,,,0
Antonio Malone,CB,72,200,4.59,34,10,111,7.05,4.1,0
Nick Mangold,C,76,300,5.05,27.5,24,104,7.47,4.36,1
Danieal Manning,CB,71,202,4.48,39,17,123,7.23,4.07,0
Laurence Maroney,RB,72,217,4.48,,,,,,0
Richard Marshall,CB,71,189,4.42,37,12,129,6.65,4.16,0
Brandon Marshall-01,WR,76,229,4.52,37,,120,,,1
Jimmy Martin,OT,77,303,5.23,31,25,101,,,0
Ingle Martin,QB,74,220,4.71,36,,111,7.13,4.17,0
Derrick Martin,CB,70,202,4.5,40,17,127,6.72,3.95,0
Tim Massaquoi,TE,75,259,4.85,,32,,,,0
Wendell Mathis,RB,71,210,4.51,33,20,117,6.93,4.22,0
Fred Matua,OG,74,306,5,24.5,28,93,7.87,4.76,0
Marcus Maxey,CB,73,198,4.48,41.5,14,129,,,0
Dee McCann,CB,71,197,4.53,40.5,,122,7.35,4.38,0
John McCargo,DT,73,302,5.15,30.5,25,110,7.79,4.48,0
Stanley McClover,DE,74,262,4.7,39,19,114,7.87,4.5,0
Tim McGarigle,ILB,73,242,4.73,38,,118,7.09,4.07,0
Rocky McIntosh,OLB,74,237,4.62,41.5,18,119,,,0
Reggie McNeal,QB,74,198,4.4,32,,121,6.96,4.25,0
Marcus McNeill,OT,80,336,5.07,31,,98,8.19,5,1
Gerrick McPhearson,CB,70,196,4.42,41.5,18,129,,,0
Paul McQuistan,OT,78,312,5.07,29.5,28,110,7.72,4.62,0
Robin Meadow,OG,77,324,5.4,24,29,99,7.94,4.73,0
Vincent Meeks,SS,71,210,4.85,33,11,112,,,0
Erik Meyer,QB,73,210,4.67,32.5,,112,6.83,4.12,0
Garrett Mills,FB,73,241,4.64,35.5,23,111,6.81,4.05,0
Jeremy Mincey,DE,75,259,4.76,33.5,27,116,6.99,4.25,0
DeMario Minter,CB,71,190,4.52,38.5,10,131,6.87,4.1,0
Anthony Mix,WR,76,235,4.48,31.5,,111,,,0
Will Montgomery,C,75,312,5.12,29.5,35,104,7.4,4.43,0
DonTrell Moore,RB,70,210,4.64,32,18,116,7.1,4.32,0
Sinorice Moss,WR,68,185,4.38,,,,,,0
Jeff Mullins,LS,74,247,5.03,,21,,,,0
Martin Nance,WR,76,213,4.55,33.5,,112,6.91,4.08,0
Terna Nande,OLB,72,232,4.51,39,41,124,6.97,4.11,0
Javon Nanton,DE,75,250,4.8,28.5,22,108,,,0
Khalid Naziruddin,CB,69,185,4.64,38.5,17,119,,,0
Barrick Nealy,QB,76,226,4.57,32.5,,114,6.94,4.26,0
Haloti Ngata,DT,76,338,5.13,31.5,37,110,7.95,4.65,1
A.J. Nicholson,OLB,73,252,4.88,,25,116,7.37,4.43,0
Rob Ninkovich,DE,75,260,4.91,34.5,23,116,6.96,4.18,0
Jerious Norwood,RB,72,210,4.4,36.5,15,122,6.81,4.25,0
Ryan O'Callaghan,OT,79,344,5.39,25,21,92,,,0
Ben Obomanu,WR,73,205,4.45,38,,116,7.17,4.21,0
Quinn Ojinnaka,OT,77,309,5.44,28.5,21,102,8.45,5.11,0
Melvin Oliver,DE,75,276,5.08,,,,,,0
Thomas Olmsted,P,76,214,5.18,,,,,,0
Drew Olson,QB,74,222,5.09,23,,97,,4.42,0
Chijioke Onyenegecha,CB,73,215,4.55,34.5,16,118,,,0
Jonathan Orr,WR,74,198,4.44,35.5,,119,7.31,4.16,0
Babatunde Oshinowo,DT,74,304,5.27,32,33,105,7.87,4.54,0
Jarrad Page,SS,72,239,4.63,38,,127,6.68,4.14,0
Kai Parham,ILB,75,256,4.98,35,30,116,7.35,4.33,0
Sam Paulescu,P,72,190,4.98,,,,,,0
Domata Peko,DT,75,307,5.27,28.5,25,103,7.69,4.49,0
Donald Penn,OT,76,317,5.05,,21,,,,1
Terrance Pennington,OT,79,325,5.39,28.5,28,102,,,0
Charlie Peprah,SS,71,206,4.66,37.5,15,119,6.81,4.09,0
Marvin Philip,C,73,307,5.24,27,27,96,7.85,4.69,0
Anwar Phillips,CB,72,193,4.6,,,,,,0
Paul Pinegar,QB,77,232,5.1,29,,110,7.36,4.49,0
David Pittman,CB,71,182,4.44,36,14,128,,4.23,0
Ryan Plackemeier,P,75,253,5.2,,,,,,0
Jason Pociask,TE,75,266,4.84,32.5,23,115,7.31,4.3,0
Bernard Pollard,SS,74,224,4.57,36.5,,131,,,0
Leonard Pope,TE,80,258,4.62,37.5,22,118,7.47,4.67,0
Quinton Porter,QB,77,233,4.67,33.5,,116,6.76,4.1,0
Donovan Raiola,C,74,300,5.55,25,20,90,8.17,4.97,0
Troy Reddick,OG,77,334,5.57,,21,,7.92,4.82,0
Willie Reid,WR,70,188,4.34,37.5,,117,7.06,4.26,0
Matthew Rice,DE,76,271,4.89,,,,7.6,4.34,0
Gerald Riggs,RB,71,232,4.62,,,,,,0
Freddie Roach,ILB,74,257,4.93,34,,111,7.49,4.42,0
Michael Robinson,WR,73,227,4.57,,,,,,1
Dale Robinson,ILB,72,231,4.76,33,18,108,7.29,4.3,0
Cory Rodgers,WR,72,188,4.58,33.5,,110,7.37,4.19,0
Dennis Roland,OT,82,328,5.28,,19,,,,0
Richie Ross,WR,76,209,4.61,37,,120,6.95,4.29,0
Pat Ross,C,75,301,4.99,,23,,,,0
Derrick Ross,RB,70,226,4.56,35,20,112,7,4.35,0
Cory Ross,RB,66,201,4.58,,15,,,,0
Frostee Rucker,DE,75,267,4.88,29.5,,110,,,0
DeMeco Ryans,OLB,73,236,4.65,39,23,129,7.19,4.17,1
Nate Salley,FS,74,216,4.63,40,14,123,6.79,4.15,0
Tony Scheffler,TE,77,254,4.54,33.5,17,115,6.81,4.01,0
Anthony Schlegel,ILB,72,250,4.88,32,21,111,7.41,4.38,0
Jon Scifres,K,73,224,5,,,,,,0
Jonathan Scott,OT,78,315,5.32,24.5,,101,7.73,4.85,0
Mark Setterstrom,OG,76,314,5.38,26.5,19,100,7.63,4.53,0
D.J. Shockley,QB,73,214,4.56,37.5,,121,7.07,4.17,0
Kevin Simon,OLB,70,235,4.89,28,26,103,7.69,4.32,0
Ko Simpson,FS,73,209,4.45,40.5,11,122,7.09,4.17,0
Ernie Sims,OLB,71,231,4.5,41,25,125,7.31,4.22,0
Rob Sims,OG,75,307,5.25,,27,,,,0
Dwayne Slay,FS,75,216,4.78,32.5,,112,,,0
Anthony Smith,FS,72,194,4.71,41,18,125,6.75,4.35,0
Brad Smith,WR,74,213,4.46,39.5,,128,7,4.33,0
Eric Smith,SS,73,209,4.63,40,21,127,6.89,4.1,0
Kent Smith,QB,77,216,4.57,35,,122,7.41,4.47,0
LeKevin Smith,DT,75,316,4.97,30.5,30,109,7.93,4.92,0
Clinton Solomon,WR,75,214,4.58,33,,114,7.17,4.46,0
Isaac Sowells,OG,75,324,5.15,28.5,20,101,8.13,4.98,0
Charles Spencer,OG,77,352,5.25,,30,,,,0
Jason Spitz,OG,75,313,5.4,28.5,25,102,7.82,4.55,0
Montavious Stanley,DT,74,313,5.12,29,,106,8.06,4.6,0
Joel Stelly,P,70,197,4.68,,,,,,0
Adam Stenavich,OG,76,310,5.6,,24,,,,0
Dan Stevenson,OG,77,300,5.36,24.5,24,100,7.58,4.59,0
Maurice Stovall,WR,76,217,4.57,35,,122,6.81,4.14,0
Zach Strief,OT,80,330,5.38,21,19,94,8.01,4.83,0
Boone Stutz,LS,78,259,5.06,,,,,,0
Quinn Sypniewski,TE,78,268,4.77,32.5,20,114,7.09,4.52,0
Naufahu Tahi,FB,72,254,4.85,29,35,101,7.72,4.7,0
Darryl Tapp,DE,74,252,4.83,33,27,109,7.31,4.48,0
Gavin Tarquinio,LS,75,253,4.88,,18,,,,0
Tony Tella,OG,76,307,5.44,24.5,24,97,8.17,4.84,0
David Thomas,TE,75,252,4.67,37.5,19,113,7.05,4.34,0
Joe Toledo,OT,77,337,5.11,,32,,,,0
John Torp,P,74,212,4.73,,,,,,0
Michael Toudouze,OT,78,303,5.12,26.5,23,100,7.45,4.7,0
Anthony Trucks,OLB,73,233,4.76,37,22,125,7,4.14,0
Jeremy Trueblood,OT,80,316,5.25,27.5,20,96,7.82,4.68,0
Stephen Tulloch,ILB,71,241,4.84,33.5,27,113,7.19,4.15,0
